m,r,gx
19.88,-0.44,0
19.63,-0.44,0
19.38,-0.44,0
19.13,-0.44,0
18.88,-0.44,0
18.63,-0.44,0
18.38,-0.44,0
18.13,-0.44,0
17.88,-0.44,0
17.63,-0.44,0
17.38,-0.44,0
17.13,-0.31,0
21.38,-0.31,10
21.13,-0.31,5
20.88,-0.31,5
20.63,-0.31,4
20.38,-0.31,3
20.13,-0.31,5
19.88,-0.31,1
19.63,-0.31,1
19.38,-0.31,0
19.13,-0.31,1
18.88,-0.31,1
18.63,-0.31,0
18.38,-0.31,0
18.13,-0.31,0
17.88,-0.31,0
17.63,-0.31,0
17.38,-0.31,0
17.13,-0.19,0
21.38,-0.19,7
21.13,-0.19,7
20.88,-0.19,4
20.63,-0.19,3
20.38,-0.19,4
20.13,-0.19,1
19.88,-0.19,2
19.63,-0.19,1
19.38,-0.19,1
19.13,-0.19,0
18.88,-0.19,1
18.63,-0.19,0
18.38,-0.19,0
18.13,-0.19,0
17.88,-0.19,0
17.63,-0.19,0
17.38,-0.19,0
17.13,-0.19,0
21.38,-0.06,16
21.13,-0.06,6
20.88,-0.06,5
20.63,-0.06,4
20.38,-0.06,0
20.13,-0.06,0
19.88,-0.06,0
19.63,-0.06,0
19.38,-0.06,2
19.13,-0.06,0
18.88,-0.06,0
18.63,-0.06,0
18.38,-0.06,0
18.13,-0.06,0
17.88,-0.06,0
17.63,-0.06,0
17.38,-0.06,0
17.13,-0.06,1
21.38,0.06,9
21.13,0.06,8
20.88,0.06,2
20.63,0.06,1
20.38,0.06,0
20.13,0.06,0
19.88,0.06,0
19.63,0.06,0
19.38,0.06,0
19.13,0.06,0
18.88,0.06,0
18.63,0.06,0
18.38,0.06,0
18.13,0.06,0
17.88,0.06,0
17.63,0.06,0
17.38,0.06,0
17.13,0.06,0
21.38,0.19,4
21.13,0.19,5
20.88,0.19,1
20.63,0.19,1
20.38,0.19,1
20.13,0.19,0
19.88,0.19,1
19.63,0.19,0
19.38,0.19,0
19.13,0.19,0
18.88,0.19,0
18.63,0.19,0
18.38,0.19,0
18.13,0.19,0
17.88,0.19,0
17.63,0.19,0
17.38,0.19,0
17.13,0.19,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
